datetime,farm_id,system_type,species,temperature_celsius,ph,dissolved_oxygen_mg_per_L,ammonia_nh4_mg_per_L,nitrate_mg_per_L,conductivity_uS_per_cm,turbidity_NTU,water_quality_status
2021-01-01 16:07:00,Farm_01,raceway,salmon,12.4,7.48,7.93,1.5554,27.28,218.0,3.93,fair
2021-01-02 09:14:00,Farm_05,pond,catfish,20.3,8.82,6.58,1.6402,7.73,977.0,50.15,good
2021-01-02 16:47:00,Farm_18,pond,catfish,15.0,8.45,7.71,1.0251,1.78,1820.0,12.38,good
2021-01-03 15:27:00,Farm_02,pond,tilapia,15.0,7.77,7.06,2.0,14.79,1109.0,6.69,good
2021-01-04 07:13:00,Farm_08,pond,hybrid_striped_bass,15.1,8.86,6.36,1.8778,9.91,983.0,20.2,fair
2021-01-05 09:28:00,Farm_19,raceway,salmon,11.7,7.19,7.89,0.665,17.64,507.0,1.53,fair
2021-01-05 15:01:00,Farm_18,raceway,trout,11.5,7.22,9.12,1.1584,8.52,774.0,4.67,fair
2021-01-05 17:41:00,Farm_18,tank,shrimp,23.6,7.51,6.1,0.8583,12.98,2178.0,5.01,good
2021-01-06 17:27:00,Farm_11,raceway,salmon,10.9,8.03,8.4,1.376,4.82,430.0,3.93,fair
2021-01-06 18:55:00,Farm_01,pond,carp,15.0,8.53,5.56,1.0645,12.55,1548.0,17.58,fair
2021-01-07 08:13:00,Farm_11,pond,catfish,17.9,8.83,7.74,0.9535,10.38,856.0,54.28,fair
2021-01-08 07:24:00,Farm_04,tank,bass,18.4,7.19,8.72,0.3776,16.55,1202.0,3.34,good
2021-01-09 11:38:00,Farm_09,pond,tilapia,16.0,7.09,8.56,2.0,10.55,2130.0,25.6,good
2021-01-10 17:29:00,Farm_18,pond,catfish,17.7,8.63,7.89,1.2198,8.5,886.0,10.31,fair
2021-01-11 12:05:00,Farm_18,raceway,salmon,9.6,7.52,9.09,0.8896,20.92,484.0,3.02,fair
2021-01-12 16:39:00,Farm_12,recirculating,tilapia,22.8,7.5,8.78,1.565,20.3,445.0,0.85,good
2021-01-13 09:45:00,Farm_03,pond,tilapia,16.3,9.25,6.01,2.0,7.72,1537.0,28.85,fair
2021-01-14 16:14:00,Farm_10,pond,catfish,17.1,7.81,8.92,0.4576,1.14,1794.0,21.51,good
2021-01-15 09:55:00,Farm_04,tank,shrimp,23.6,7.5,9.33,1.3137,10.83,4743.0,1.59,good
2021-01-16 10:29:00,Farm_12,pond,carp,18.8,8.89,7.57,1.6665,2.52,1711.0,39.1,good
2021-01-17 11:22:00,Farm_07,raceway,salmon,12.5,7.14,8.6,1.3657,18.3,383.0,0.62,fair
2021-01-18 17:59:00,Farm_03,recirculating,tilapia,22.2,7.28,9.1,1.0809,89.56,232.0,5.02,good
