datetime,station_id,karenia_brevis_cells_per_L,chlorophyll_a_ug_per_L,dissolved_oxygen_mg_per_L,ph,temperature_celsius,salinity_psu,conductivity_mS_per_cm,turbidity_NTU,bloom_level
2014-01-01 06:00:00,ST_024,1008.0,7.11,13.84,8.11,18.0,35.3,47.78,5.33,low
2014-01-01 10:00:00,ST_008,3.0,4.7,11.91,8.22,18.0,29.9,40.15,3.62,background
2014-01-02 07:00:00,ST_022,1.0,5.51,12.37,8.17,19.2,30.3,41.71,1.58,background
2014-01-02 08:00:00,ST_024,1.0,6.57,11.5,8.14,18.0,33.1,43.84,1.69,background
2014-01-02 17:00:00,ST_018,92.0,1.63,11.93,8.23,18.0,32.5,43.33,0.62,background
2014-01-03 06:00:00,ST_001,54.0,2.04,11.94,8.05,22.2,33.8,49.12,2.8,background
2014-01-03 15:00:00,ST_014,6.0,4.2,11.63,8.17,18.6,34.5,47.33,2.31,background
2014-01-04 09:00:00,ST_008,237.0,3.95,12.42,8.16,21.0,34.2,50.2,3.66,background
2014-01-04 14:00:00,ST_020,14.0,3.33,10.13,8.07,18.0,29.2,39.31,4.75,background
2014-01-05 14:00:00,ST_007,26.0,1.85,13.82,8.05,19.9,29.1,40.13,3.24,background
2014-01-05 17:00:00,ST_021,157.0,5.27,11.72,8.15,20.8,34.7,49.47,0.25,background
2014-01-06 09:00:00,ST_015,28.0,6.69,13.53,8.12,20.8,31.9,45.31,3.13,background
2014-01-06 15:00:00,ST_009,13.0,7.45,12.57,8.05,18.0,32.3,42.98,4.91,background
2014-01-06 17:00:00,ST_014,4.0,5.84,12.01,8.01,18.0,33.0,45.24,2.13,background
2014-01-06 18:00:00,ST_001,28.0,7.96,12.79,8.16,18.0,35.1,47.3,1.32,background
2014-01-06 18:00:00,ST_006,86.0,2.44,12.56,8.12,18.0,35.3,48.53,2.65,background
2014-01-07 07:00:00,ST_013,26.0,6.49,12.08,8.06,19.2,33.3,46.21,4.68,background
2014-01-07 09:00:00,ST_025,204.0,4.55,11.87,8.26,20.4,32.7,45.91,3.81,background
2014-01-07 10:00:00,ST_005,0.0,7.48,11.31,8.2,18.0,34.3,46.11,1.46,background
2014-01-07 11:00:00,ST_004,319.0,6.95,13.15,8.26,20.1,30.5,43.0,5.57,background
2014-01-08 11:00:00,ST_012,97.0,5.06,12.16,8.15,20.7,33.1,47.27,3.96,background
2014-01-08 15:00:00,ST_009,22.0,2.49,11.14,8.16,20.9,31.5,45.51,0.88,background
2014-01-09 14:00:00,ST_004,84.0,5.75,12.26,8.06,18.0,29.6,39.84,2.64,background
2014-01-09 17:00:00,ST_015,44.0,10.61,11.08,8.03,18.0,34.0,45.84,3.62,background
2014-01-10 07:00:00,ST_018,20.0,6.81,12.15,7.94,19.5,32.4,44.32,3.33,background
2014-01-10 10:00:00,ST_021,456.0,3.28,12.79,8.11,20.9,34.2,48.87,3.84,background
2014-01-10 15:00:00,ST_012,1.0,5.3,10.95,8.01,18.9,34.1,47.68,4.34,background
2014-01-10 15:00:00,ST_007,81.0,4.6,10.95,8.15,20.7,36.6,52.46,2.41,background
2014-01-10 17:00:00,ST_003,2.0,7.39,12.78,8.19,18.0,35.3,47.92,2.81,background
2014-01-11 16:00:00,ST_008,88.0,5.41,13.53,8.0,18.2,31.1,42.99,16.53,background
